Date,Close,High,Low,Open,Volume
2015-01-01,294.0238647460937,294.9836233303203,292.2712414062373,294.35768041970965,2583280
2015-01-02,302.36962890625,303.3711317084057,293.77340819458686,293.77340819458686,8272990
2015-01-05,302.9955749511719,306.6260264861656,301.701972868142,304.8734034054019,10316090
2015-01-06,290.14306640625,300.3667365273545,288.93292490226145,299.9494318623105,13282427
2015-01-07,282.2979431152344,288.9746205119431,279.961121435418,288.4321385473316,21254332
2015-01-08,289.97613525390625,290.852432913132,284.7599817022095,287.93138468286804,12558144
2015-01-09,285.30242919921875,292.43809905129706,281.33816194441545,292.0625389546834,15701030
2015-01-12,289.2250061035156,290.1013318371867,282.67353339452285,286.05360291287326,8304115
2015-01-13,284.5096435546875,291.2697832039729,283.5498848226717,291.2697832039729,13100848
2015-01-14,281.1712646484375,285.2607096200544,277.9163728386153,283.1325262147822,13127934
2015-01-15,294.48291015625,297.1118313751533,290.05962097968586,293.8986836503855,16662989
2015-01-16,295.3174743652344,295.94341729141297,289.9761432903106,294.482893135804,14726646
2015-01-19,301.1178283691406,301.952409603704,295.0253769519012,296.69453942102786,10277015
2015-01-20,306.91815185546875,308.170037598456,300.1997581364678,300.1997581364678,11477610
2015-01-21,307.50244140625,309.58888071767694,304.74831461939704,305.8749952095387,12457852
2015-01-22,308.62908935546875,310.7155564626553,304.2892613063164,307.8779690414802,9320935
2015-01-23,309.3802490234375,313.38626189618327,307.71108633193575,312.88549627887653,13525550
2015-01-27,320.0628662109375,321.1478302078791,311.0493665718306,312.5516351892971,13932787
2015-01-28,320.5218200683594,328.3251766961292,318.47709789764576,319.6037781121512,14787690
2015-01-29,317.3922119140625,320.3132603117763,313.42794395277554,317.22529005994903,22085259
2015-01-30,301.03436279296875,318.8110072522871,295.98513099283986,318.3519861795481,31372235
2015-02-02,293.6482849121094,301.0343379193373,292.1042999738492,300.7004942516852,37165959
2015-02-03,289.2667236328125,297.7794853275377,288.0148378488636,293.7734732320384,25975650
