Date,Close,High,Low,Open,Volume,rsi,macd,macd_signal,macd_diff,bb_upper,bb_middle,bb_lower,bb_width,atr,ema_12,ema_26,sma_20,sma_50,volume_sma_20,volume_ratio,momentum,roc,daily_return,volatility_20d,direction,close_lag_1,return_lag_1,volume_lag_1,close_lag_2,return_lag_2,volume_lag_2,close_lag_3,return_lag_3,volume_lag_3,close_lag_5,return_lag_5,volume_lag_5,close_lag_7,return_lag_7,volume_lag_7,close_lag_10,return_lag_10,volume_lag_10,close_rolling_mean_5,close_rolling_std_5,close_rolling_mean_10,close_rolling_std_10,sentiment_score,sentiment_positive,sentiment_negative,sentiment_neutral,num_headlines,pe_ratio,earnings_growth,revenue_growth,market_cap
2015-03-16,180.1991729736328,182.7349281178533,179.8139915415307,182.21065854911555,13839990,39.34002138385587,-2.0318362763321147,-1.5215411513502015,-0.5102951249819132,196.4378311276305,186.26893997192383,176.10004881621717,0.10918504348861822,4.635406673258286,184.66775435045088,186.699590626783,186.26893997192383,188.3561734008789,14355510.55,0.9640890131908265,-2.8781127929687784,-1.5720753019235696,-0.009410635575861082,0.016398664881699235,1,181.9110717773437,-0.015860109225382057,12936157.0,184.8426971435547,0.009171040017114551,11782380.0,183.16290283203125,-0.0037245697439710623,11635873.0,186.0945587158203,-0.017289047672535363,14065391.0,189.9891357421875,-0.01437606118135748,14476047.0,183.0772857666016,0.01609238446860206,18659378.0,182.7927001953125,1.7997306655664884,185.7115036010742,3.910867552364805,0.0,0.0,0.0,0.0,0.0,21.931023,0.006,0.104,18243125248000.0
2015-03-17,183.35548400878903,184.00814260727708,179.96377340198245,182.00735617885903,19070082,44.958413329275274,-1.986012419870292,-1.6144354050542198,-0.3715770148160722,194.73918094834733,185.6200210571289,176.50086116591046,0.09825621007134566,4.593189711260883,184.46586660557983,186.45187902545013,185.6200210571289,188.22328674316407,14939330.65,1.2765017688392886,-1.5835266113281534,-0.8562426099385121,0.017515679917232907,0.016842877672370547,1,180.1991729736328,-0.009410635575861082,13839990.0,181.9110717773437,-0.015860109225382057,12936157.0,184.8426971435547,0.009171040017114551,11782380.0,183.84765625,-0.012073982610375511,15234060.0,189.3685607910156,-0.003266370725608314,10716702.0,184.9390106201172,0.010169065188616822,14579511.0,182.69426574707032,1.7400767594209219,185.55315093994142,3.977119174729155,0.0,0.0,0.0,0.0,0.0,21.931023,0.006,0.104,18243125248000.0
2015-03-18,185.88055419921875,186.6509170993505,182.8954229590772,183.38759528846785,9269885,49.02600020451025,-1.7260478171964735,-1.6367578874826705,-0.089289929713803,193.6916392833766,185.2546363830566,176.81763348273662,0.0910854709500985,4.533354313333198,184.68351085075506,186.40955866795153,185.2546363830566,188.1509588623047,14789490.0,0.6267886857491367,-6.879714965820284,-3.569052375585736,0.013771446237782925,0.016973604626743317,0,183.35548400878903,0.017515679917232907,19070082.0,180.1991729736328,-0.009410635575861082,13839990.0,181.9110717773437,-0.015860109225382057,12936157.0,183.16290283203125,-0.0037245697439710623,11635873.0,186.0945587158203,-0.017289047672535363,14065391.0,192.76026916503903,0.042291015393109754,20636925.0,183.2377960205078,2.267551328354311,184.86517944335938,3.0874096361503316,0.0,0.0,0.0,0.0,0.0,21.931023,0.006,0.104,18243125248000.0
2015-03-19,183.2056884765625,187.60312735711423,182.76701164027128,187.3570483646431,13934612,45.21416900903936,-1.7160813876531051,-1.6526225875167575,-0.06345880013634764,192.46555342269284,184.76781463623044,177.07007584976805,0.08332337319264882,4.554980127869609,184.45615356241774,186.17223495007084,184.76781463623044,188.06664764404297,14994468.8,0.929316815811441,-6.783447265625,-3.570439561781069,-0.014390239657825932,0.017204438527463915,0,185.88055419921875,0.013771446237782925,9269885.0,183.35548400878903,0.017515679917232907,19070082.0,180.1991729736328,-0.009410635575861082,13839990.0,184.8426971435547,0.009171040017114551,11782380.0,183.84765625,-0.012073982610375511,15234060.0,189.9891357421875,-0.01437606118135748,14476047.0,182.91039428710937,2.0890500180312412,184.18683471679688,2.5317177038651155,0.0,0.0,0.0,0.0,0.0,21.931023,0.006,0.104,18243125248000.0
2015-03-20,182.7670288085937,184.2756430185052,181.59008631534263,183.5801737532895,10405717,44.60172101357562,-1.723709242434012,-1.6668399185002085,-0.056869323933803395,190.98959264974502,184.25477905273436,177.5199654557237,0.07310327180260687,4.421449883247678,184.19628821567557,185.91999745810958,184.25477905273436,188.1436831665039,15037222.8,0.6919972616220064,-6.601531982421903,-3.4860760175007397,-0.0023943561557310256,0.017191050459054242,0,183.2056884765625,-0.014390239657825932,13934612.0,185.88055419921875,0.013771446237782925,9269885.0,183.35548400878903,0.017515679917232907,19070082.0,181.9110717773437,-0.015860109225382057,12936157.0,183.16290283203125,-0.0037245697439710623,11635873.0,189.3685607910156,-0.003266370725608314,10716702.0,183.08158569335936,2.02063700385433,183.52668151855468,1.7793223443464747,0.0,0.0,0.0,0.0,0.0,21.931023,0.006,0.104,18243125248000.0
2015-03-23,180.1670684814453,184.88549441073985,179.34321021313397,183.2805885066292,13251683,41.052312480116974,-1.9174463143860692,-1.7169611976773806,-0.20048511670868852,190.77174897468467,183.9214920043945,177.07123503410435,0.07449109830107821,4.501509477130407,183.5764082565632,185.49385457094928,183.9214920043945,188.09082794189453,14763947.0,0.8975704803058423,-5.927490234375,-3.185203412329052,-0.014225543546321107,0.015999993518882445,1,182.7670288085937,-0.0023943561557310256,10405717.0,183.2056884765625,-0.014390239657825932,13934612.0,185.88055419921875,0.013771446237782925,9269885.0,180.1991729736328,-0.009410635575861082,13839990.0,184.8426971435547,0.009171040017114551,11782380.0,186.0945587158203,-0.017289047672535363,14065391.0,183.07516479492185,2.0321046329729,182.93393249511718,1.815776064779508,0.0,0.0,0.0,0.0,0.0,21.931023,0.006,0.104,18243125248000.0
2015-03-24,181.4510040283203,182.80983105517825,180.1991821657517,180.1991821657517,9238431,43.44579605238148,-1.9449611697044702,-1.7625611920827986,-0.1823999776216716,190.77957455421068,183.88404388427733,176.98851321434398,0.07499868421724372,4.368741841173445,183.2494229906797,185.19438416038417,183.88404388427733,188.11607879638672,14520645.4,0.6362272988224064,-2.3966522216796875,-1.3036077100818018,0.007126360869923465,0.015143386765024624,0,180.1670684814453,-0.014225543546321107,13251683.0,182.7670288085937,-0.0023943561557310256,10405717.0,183.2056884765625,-0.014390239657825932,13934612.0,183.35548400878903,0.017515679917232907,19070082.0,181.9110717773437,-0.015860109225382057,12936157.0,183.84765625,-0.012073982610375511,15234060.0,182.69426879882812,2.141944647528467,182.69426727294922,1.8397818713419838,0.0,0.0,0.0,0.0,0.0,21.931023,0.006,0.104,18243125248000.0
2015-03-25,180.79835510253903,181.78269981857528,179.96379762627,181.6757089330273,10264941,42.501115243784746,-1.9964167550481307,-1.8093323046758651,-0.1870844503722655,190.74170947985994,183.92095718383786,177.10020488781578,0.0741704741043122,4.186610437682861,182.87233562327344,184.86875237832157,183.92095718383786,188.05017120361327,14036581.55,0.7312992100986297,-2.364547729492216,-1.2909534042822057,-0.0035968328159783347,0.014921550160450046,0,181.4510040283203,0.007126360869923465,9238431.0,180.1670684814453,-0.014225543546321107,13251683.0,182.7670288085937,-0.0023943561557310256,10405717.0,185.88055419921875,0.013771446237782925,9269885.0,180.1991729736328,-0.009410635575861082,13839990.0,183.16290283203125,-0.0037245697439710623,11635873.0,181.67782897949218,1.2872482328284582,182.4578125,1.9229297982574272,0.0,0.0,0.0,0.0,0.0,21.931023,0.006,0.104,18243125248000.0
2015-03-26,177.46011352539062,181.72917779480807,176.3473799094531,179.98516947747746,20621346,37.955105575597436,-2.280278245388473,-1.9035214928183868,-0.37675675257008634,191.007227415969,183.77277069091795,176.5383139658669,0.07873262940806904,4.271980969659439,182.03968606975303,184.3199643151415,183.77277069091795,187.9602963256836,14303943.05,1.4416546492052762,-7.3825836181640625,-3.993981765171125,-0.018463893519690133,0.01549010843022571,0,180.79835510253903,-0.0035968328159783347,10264941.0,181.4510040283203,0.007126360869923465,9238431.0,180.1670684814453,-0.014225543546321107,13251683.0,183.2056884765625,-0.014390239657825932,13934612.0,183.35548400878903,0.017515679917232907,19070082.0,184.8426971435547,0.009171040017114551,11782380.0,180.52871398925782,1.967261723611859,181.71955413818358,2.2880850137437942,0.0,0.0,0.0,0.0,0.0,21.931023,0.006,0.104,18243125248000.0
2015-03-27,173.69395446777344,178.67987241131732,171.50056996544376,178.44447818654436,23326922,33.58990340045362,-2.777125112839542,-2.078242216822618,-0.698882896016924,191.79415831276742,183.4485786437988,175.1029989748302,0.09098549283582275,4.47964678938902,180.7557273617562,183.53285247459573,183.4485786437988,187.8256985473633,14397301.65,1.6202287461275773,-8.217117309570256,-4.51710675402313,-0.02122256648437415,0.016156064063363586,0,177.46011352539062,-0.018463893519690133,20621346.0,180.79835510253903,-0.0035968328159783347,10264941.0,181.4510040283203,0.007126360869923465,9238431.0,182.7670288085937,-0.0023943561557310256,10405717.0,185.88055419921875,0.013771446237782925,9269885.0,181.9110717773437,-0.015860109225382057,12936157.0,178.71409912109374,3.1906199884978164,180.89784240722653,3.411410048103736,0.0,0.0,0.0,0.0,0.0,21.931023,0.006,0.104,18243125248000.0
