Date,Close,High,Low,Open,Volume
2015-01-01,189.99981689453125,190.8771706719807,189.0903658533578,189.65744608147511,2963643
2015-01-02,189.4969482421875,191.74382815812208,189.22947104058625,190.04261601795088,7331366
2015-01-05,187.42124938964844,190.6417745682772,187.0467670601344,189.3792394487279,10103941
2015-01-06,178.91525268554688,186.81140833967845,178.03789888297737,186.1694487623213,18627980
2015-01-07,182.8098297119141,183.77277619196656,179.1078453068099,179.12924348261123,20720312
2015-01-08,180.1884613037109,184.65010901239097,179.7818817251331,184.05093158896315,19872227
2015-01-09,184.0937347412109,184.45751798649133,180.8197283871731,181.54728059323853,13392787
2015-01-12,181.953857421875,184.2435334450875,180.09217344442607,184.13654257589425,10100113
2015-01-13,180.42384338378903,182.94889929466348,179.85677749808573,182.53162062437363,9948711
2015-01-14,178.669189453125,181.2477413632399,177.86672919710873,180.3917856614223,11380041
2015-01-15,184.9390106201172,186.40482855783029,179.74980999523677,179.74980999523677,16927085
2015-01-16,186.1052398681641,187.2393717003376,182.328347744054,184.02954549231427,19136963
2015-01-19,188.2344207763672,189.59323348253545,183.76207355968447,186.21223606415992,13339962
2015-01-20,193.24172973632807,193.7766983863656,188.06321434843136,188.63029454489703,13361320
2015-01-21,194.0334625244141,195.0285061417366,190.88784537432807,193.6589944954715,17084297
2015-01-22,189.1117553710937,194.12976983614,188.20230444025265,193.6910930006344,23721627
2015-01-23,189.78582763671875,192.11828584647952,187.6673511766623,190.44918534529805,18080494
2015-01-27,190.2458953857422,191.88289856167685,188.41629435796523,191.0697393749992,17939876
2015-01-28,194.05487060546875,194.6861453126213,189.6146209037031,189.6146209037031,19298126
2015-01-29,198.8803100585937,199.97164555622763,194.06557782256647,194.1083741727093,36117653
2015-01-30,195.85240173339844,199.2762100711448,194.51497280714665,199.00871857209543,21746801
2015-02-02,194.31167602539065,196.84743125784271,193.8088046140225,196.0235729278048,19302710
2015-02-03,200.6350250244141,201.3304800246308,195.41371298308377,195.41371298308377,17092333
2015-02-04,198.7518920898437,201.96170359050487,198.1313308185683,200.9559609394917,14072894
2015-02-05,197.6605529785156,201.1271424765104,196.35522166050995,200.2925995015829,12365643
2015-02-06,194.70755004882807,199.00869747891824,193.2310331275072,197.74617659105456,9045844
2015-02-09,191.8829040527344,196.4408438375023,190.87716126992885,192.845850486016,8839692
2015-02-10,188.73727416992188,193.5519917333185,184.3077237267607,192.161081896812,13651008
2015-02-11,192.7388458251953,193.60550041005428,188.9512548872894,189.59321436872443,9781008
2015-02-12,194.5470428466797,195.5741837758089,189.86071414308964,194.30096384372987,8709626
2015-02-13,196.3338623046875,197.040016389926,194.52565931328635,195.58489758339235,7393680
2015-02-16,193.1882476806641,197.7675859273436,192.5890701807648,196.59064338814545,12266698
2015-02-18,192.942123413086,194.3009502311401,191.3907130409981,192.58903927952977,9835036
2015-02-19,193.0277404785156,194.215382065177,189.92491934252843,194.07627964075965,9550637
2015-02-20,186.8328094482422,191.73313477228305,186.4476279819841,191.57263416205217,18717199
2015-02-23,182.1999664306641,187.6138620085496,181.2691172193531,186.15874320844807,14104463
2015-02-24,180.06008911132812,183.3448092834425,179.10785594710333,182.7991414835957,19946218
2015-02-25,180.42384338378903,183.2805852704313,179.97446745305348,181.6328830473976,15274116
2015-02-26,180.17779541015625,181.8896924488369,179.0222509816617,181.05513496456263,21459750
2015-02-27,183.0772857666016,184.24352906657856,180.73412864897224,181.36538904670613,18659378
2015-03-02,184.9390106201172,187.3463768889524,183.07731213428505,185.95545256868127,14579511
2015-03-03,192.76026916503903,193.9692946794488,185.61307838971263,185.95544920611377,20636925
2015-03-04,189.9891357421875,194.6540813554282,188.3200350174809,193.8730192954161,14476047
2015-03-05,189.3685607910156,192.3215948287122,187.91344194847687,190.98416595587585,10716702
2015-03-09,186.0945587158203,190.82369900528056,184.91763033032487,189.40067728274613,14065391
2015-03-10,183.84765625,187.41055224966087,183.0451961476324,185.94473446187305,15234060
2015-03-11,183.16290283203125,186.08382507493755,182.40323906798355,184.23284012645408,11635873
2015-03-12,184.8426971435547,185.6130599730144,183.08798974561603,183.60157448825268,11782380
2015-03-13,181.9110717773437,186.08383019735743,181.24771406482,185.95544114677145,12936157
2015-03-16,180.1991729736328,182.7349281178533,179.8139915415307,182.21065854911555,13839990
2015-03-17,183.35548400878903,184.00814260727708,179.96377340198245,182.00735617885903,19070082
2015-03-18,185.88055419921875,186.6509170993505,182.8954229590772,183.38759528846785,9269885
2015-03-19,183.2056884765625,187.60312735711423,182.76701164027128,187.3570483646431,13934612
2015-03-20,182.7670288085937,184.2756430185052,181.59008631534263,183.5801737532895,10405717
2015-03-23,180.1670684814453,184.88549441073985,179.34321021313397,183.2805885066292,13251683
2015-03-24,181.4510040283203,182.80983105517825,180.1991821657517,180.1991821657517,9238431
2015-03-25,180.79835510253903,181.78269981857528,179.96379762627,181.6757089330273,10264941
2015-03-26,177.46011352539062,181.72917779480807,176.3473799094531,179.98516947747746,20621346
2015-03-27,173.69395446777344,178.67987241131732,171.50056996544376,178.44447818654436,23326922
2015-03-30,173.49063110351562,174.9778469896794,170.4306066386598,174.7424670852265,17330588
2015-03-31,176.75396728515625,178.2304842082819,175.04205615338952,175.04205615338952,20235395
2015-04-01,178.90452575683594,179.5357861477442,173.99350218572226,176.5185580338501,14588531
2015-04-06,176.46505737304688,179.32179910406478,175.76960248344625,178.89382137027428,12334096
2015-04-07,178.21975708007812,178.9152119401269,176.76463856082026,176.76463856082026,21275454
2015-04-08,185.2920837402344,186.0624323295186,178.23048596339785,178.35887501419583,24821205
2015-04-09,191.5405120849609,192.37506943966287,183.7727606582179,185.206481169208,27276420
2015-04-10,193.51991271972656,194.4721600924163,190.25660526974173,191.50842709752723,25323219
2015-04-13,197.40380859375,197.885281855081,192.321598771088,194.0441948528072,20177342
2015-04-15,197.6498870849609,201.06298172725784,194.1297872824526,197.0828068746773,22231264
2015-04-16,198.65562438964844,200.72060537180948,196.65483793114063,197.8317661004409,20177302
2015-04-17,198.33462524414065,202.06870646427583,197.42517431286709,200.08931830250225,23958678
2015-04-20,189.51834106445312,200.6029102446017,187.9883286610261,200.5708129813163,37628162
2015-04-21,187.5496520996093,191.6261331043077,186.6937107927023,190.48128785834427,17707007
2015-04-22,188.2558135986328,189.75372868672943,185.5274606071912,188.71588864090145,14761313
2015-04-23,187.6780548095703,190.32080090490365,185.9661436324908,189.13317359628937,13337818
2015-04-24,188.0738983154297,189.2615397649384,185.88052845506303,187.66733303030404,12709854
2015-04-27,187.30352783203125,189.91417604218748,186.4796697029952,188.3199694945856,11042925
2015-04-28,185.14227294921875,188.7372659054619,183.7192516305092,187.17515646609112,14687371
2015-04-29,181.8896484375,186.28710137214009,181.3332816774389,184.45750051643367,16387960
2015-04-30,184.53240966796875,185.29207341183803,181.45098691360167,181.88966376387205,34802149
2015-05-04,190.6524810791016,191.2837415212092,184.13655114361163,185.3562756781583,15078502
2015-05-05,190.90928649902344,192.97426780404567,189.40067210381304,191.24097254092007,17846755
2015-05-06,188.3628387451172,191.8936382177379,186.5974318665576,190.44921830377965,22438208
2015-05-07,186.32989501953125,187.9775971037291,184.02952012560743,187.23934589118704,16735535
2015-05-08,192.7836761474609,193.6612498977761,186.586519390773,188.731686812016,17104443
2015-05-11,194.13796997070312,194.89635656004145,191.41857742185712,193.4662400168806,14214007
2015-05-12,188.2333221435547,193.9104381338344,187.4641016894681,193.9104381338344,16650201
2015-05-13,191.78692626953125,192.5561611394764,185.74144403277268,189.2408906213158,16701434
2015-05-14,190.2918243408203,192.0253041997436,188.58002672137945,191.98195418524813,12329713
2015-05-15,189.37091064453125,192.1878081186485,188.5366868611301,191.0935565765658,8331715
2015-05-18,193.1845550537109,193.7154299949036,188.99172496056983,189.57676933816288,9847540
2015-05-19,194.05128479003903,196.04477780292075,192.1119612107174,193.11954160387023,14513036
2015-05-20,196.93316650390625,197.3990380864072,194.5171374996748,195.10219629776827,8708891
2015-05-21,194.3112945556641,198.35244994187525,193.7370841058482,197.45320843211144,10759523
2015-05-22,195.8497772216797,196.22897776723445,194.36549116802365,194.36549116802365,8349048
2015-05-25,193.82376098632807,196.74899721981475,193.35788938775943,195.0155174676145,6617337
2015-05-26,191.6785888671875,194.1487873288,191.2668867128408,193.9320951328168,9510249
2015-05-27,191.83026123046875,193.04369990739767,190.72517588260808,191.9819356409094,8078236
2015-05-28,189.77178955078125,193.7696098886348,188.94838514412007,191.94945886947653,26538868
2015-05-29,190.03179931640625,192.07946178668595,189.1867272140955,190.66017921748605,29277517
2015-06-01,195.50308227539065,196.0773072815315,190.2485018298925,190.6818718243253,19594976
2015-06-02,194.72300720214844,199.08917941915016,193.16288406635945,196.2614625637377,20178960
2015-06-03,194.22463989257807,197.2798829353339,192.52367617228165,194.7988503909652,15546279
2015-06-04,197.76744079589844,198.5258274514321,193.40125357282844,195.92562190257712,15931395
2015-06-05,196.69482421875,198.68831721894924,195.97975877137048,197.16069580887057,13066337
2015-06-08,191.86276245117188,197.18235980003936,191.353555324246,196.4889621392459,10846953
2015-06-09,191.4835968017578,192.9895361054444,190.10764968465915,191.4510806745241,9153355
2015-06-10,196.2723083496093,197.1607160745957,191.7652808626073,191.9819586177408,13509379
2015-06-11,190.0642852783203,197.07401198616915,189.3058843333557,196.3156110412045,14676438
2015-06-12,192.8162078857422,193.43375398751428,190.3026734606885,190.46519625076468,21543824
2015-06-15,195.3947296142578,196.0989612297272,192.84869373291545,193.9104436353928,12858570
2015-06-16,195.87144470214844,196.098970814926,193.5421009211202,194.7988608597588,13929305
2015-06-17,201.77606201171875,204.1920910592102,193.715418905286,196.1097801794577,26232634
2015-06-18,212.12271118164065,212.7835927265047,202.0577412744451,202.06857516100897,49366799
2015-06-19,215.95803833007807,218.0707042204091,212.8919614243679,212.8919614243679,45710935
2015-06-22,214.88543701171875,218.569059659903,213.75866942631936,216.0230240191117,19394187
2015-06-23,215.6004943847656,217.26895634278367,214.7337545131728,215.0912872414868,16007498
2015-06-24,214.71209716796875,218.0815373724735,213.7911878177322,215.60050485627715,18603004
2015-06-25,217.6698303222656,218.6340752001753,213.43366476327824,213.8670347104311,27175118
2015-06-26,216.8356170654297,219.7391712625162,215.68718158723644,216.66226039948327,20966796
2015-06-29,214.70127868652344,215.35134090067027,210.6167871620475,214.06206482493343,20168946
2015-06-30,216.70556640625,217.3014446070601,214.08369364400508,214.49539578085472,23184864
2015-07-01,217.90817260742188,218.94825461034355,216.90059226306224,216.90059226306224,14824266
2015-07-02,219.0349578857422,220.96344776834275,218.22238737335263,218.63408957343708,15931202
2015-07-03,218.2440643310547,219.6741809715052,217.3448226785968,218.7966070955176,13831096
2015-07-06,220.05337524414065,220.77926019965,215.6438526780452,215.8388771251824,12237733
2015-07-07,217.3881225585937,220.28084237256604,216.6838910567893,219.06741824114744,11294999
2015-07-08,215.9472045898437,218.56907765168825,214.8746208129287,215.78468181507515,15190654
2015-07-09,213.95372009277344,216.9006243586044,213.0328107016425,215.8171921861465,16245867
2015-07-10,217.073959350586,217.5506648619977,214.5712590317913,214.75543511811003,16110573
2015-07-13,218.20071411132807,219.3924851304981,215.6330104498397,217.07396088166905,9860248
2015-07-14,216.20721435546875,219.17578622860864,215.6438377578284,218.61240963096824,9942927
2015-07-15,219.0999450683593,219.8041621865967,216.58641096641105,216.6297465143353,13532911
2015-07-16,221.8193359375,222.707743650608,219.09995782458657,219.28413391398743,14854295
2015-07-17,221.38595581054688,223.4336183331038,220.5842336995889,222.15519072462945,10195142
2015-07-20,222.046875,223.17362830632285,220.5625889171529,222.707756647358,6348354
2015-07-21,218.37405395507807,222.8485796273808,217.2798023997473,222.75107464087057,7923338
2015-07-22,227.6048126220703,228.37403313106284,217.6806819695356,217.7673530731437,17309440
2015-07-23,226.4997100830078,231.38592336156816,225.61130240891728,228.27651096672008,18642915
2015-07-24,222.11183166503903,227.4422482059296,221.25592574463863,227.08472996898809,13099664
2015-07-27,217.8431701660156,223.1627677677505,217.06311584112788,222.0793501437868,20118553
2015-07-28,218.9049224853516,220.3025227542896,216.7055712326212,218.48238645297607,13382878
2015-07-29,215.81719970703125,219.43583407091552,214.97214196545457,218.74243629922108,14790821
2015-07-30,216.71641540527344,218.4173935018678,215.0154517731475,216.7055815184026,11701228
2015-07-31,217.0847930908203,218.3957368624312,214.5170894491837,216.68392479169395,16634259
2015-08-03,217.2147827148437,219.6849811760605,216.5539011693605,216.9006000041972,9887787
2015-08-04,214.08370971679688,217.9081875183756,212.3502444147996,217.4206481421156,12006872
2015-08-05,214.0295562744141,216.8572877609032,213.2386535405859,214.1378951517961,14345010
2015-08-06,212.12271118164065,214.9504423616188,211.8085284712884,214.7337501658733,8708037
2015-08-07,213.2928466796875,215.3838449615833,211.7327089199509,212.1335772480924,8608888
2015-08-10,209.945068359375,214.2570714663716,208.9916572936792,213.3253426409809,9288894
2015-08-11,209.31668090820312,210.97430909372304,207.58320104550285,210.4000985901561,8762464
2015-08-12,204.311279296875,209.3166799577667,203.80207212080109,208.79663889421184,9650325
2015-08-13,202.241943359375,206.70563505879736,201.38603734301736,205.19968134701904,9340350
2015-08-14,209.5225067138672,210.61675818904376,202.44777626383885,203.73705216221944,12739366
2015-08-17,206.0014038085937,209.31667454329204,204.9938233699903,209.31667454329204,10857430
2015-08-18,204.57130432128903,207.14984201188875,204.1596165734173,207.14984201188875,6630334
2015-08-19,206.8464813232422,208.2332478499668,203.56371216469807,204.54962485456264,8877298
2015-08-20,198.5474548339844,208.00571234605115,197.9949121712965,208.00571234605115,19008087
2015-08-21,196.7381591796875,197.5940651508793,194.3654656895752,197.18236299519964,20050521
2015-08-24,179.75013732910156,190.6818473899387,177.24743714191817,190.6818473899387,35635706
2015-08-25,183.78045654296875,186.48901500939647,178.3742024257681,182.1986656886669,49504268
2015-08-26,184.9180450439453,189.5550784137296,182.0144768206765,183.70460642336403,18955515
2015-08-27,188.3308563232422,190.9527297490367,185.7089828974477,187.82164908248336,26997546
2015-08-28,189.03504943847656,191.3318912652094,187.66993632773065,189.5984260085142,10770215
2015-08-31,185.4597320556641,189.13252021560217,185.004694434371,189.13252021560217,20708942
2015-09-01,181.98199462890625,185.02640369526745,180.95274642396475,185.02640369526745,21645696
2015-09-02,184.08384704589844,185.71980757561207,182.5778931760234,184.1813520407774,19652369
2015-09-03,185.0155792236328,186.5106991151108,182.96791659665965,185.05891477430148,11659978
2015-09-04,181.1260986328125,184.1163384289337,178.785906564053,184.1163384289337,16199949
2015-09-07,180.54104614257807,182.88123810648503,179.3492896184002,181.63529768169096,10234633
2015-09-08,183.8779754638672,184.82055260877087,178.78590367545448,181.14776348148376,12900468
2015-09-09,189.39259338378903,190.40017390741428,184.2896874369736,186.5648762634516,17340694
2015-09-10,187.864974975586,188.62337608552485,185.37310834424005,186.5648794506483,11074406
2015-09-11,186.5540008544922,189.8367550094912,185.52475278371423,188.9483474528604,10634833
2015-09-14,187.1823883056641,187.58325655747512,184.59301719481,186.7273506231309,7964072
2015-09-15,187.864974975586,188.5150372025251,185.39477612084,186.7815572166478,11509788
2015-09-16,189.0675811767578,190.1076633891329,187.47495619308776,188.97007618143584,13424811
2015-09-18,194.018798828125,194.90719207485824,190.064314142537,190.3459952198401,34261453
2015-09-21,190.2701568603516,192.4586599979373,189.82595300742656,190.68185905070663,12732187
2015-09-22,183.72628784179688,191.74359547691992,182.98956907753552,190.6818456453404,15745524
2015-09-23,184.2571716308593,185.65478648382367,182.01449910532168,182.66454680679405,15221260
2015-09-24,181.4402770996093,183.7479528023893,180.8769005321592,183.7479528023893,29076982
2015-09-28,180.7685394287109,182.2094896773973,179.56594913935103,181.9711441825383,11624639
2015-09-29,182.176986694336,184.2354829019292,179.0025712945367,179.8476433354633,15853471
2015-09-30,186.8465270996093,187.3882358821088,181.6894525472705,184.3980109242353,17292020
2015-10-01,187.36656188964844,189.37088865770176,186.0447988685924,189.37088865770176,8663393
2015-10-05,192.4153289794922,192.8486989551004,186.74904656219013,186.9549048944505,16015412
2015-10-06,194.593002319336,195.12387725650683,191.9277792818145,194.07296126936305,12330294
2015-10-07,198.0057983398437,198.92670784230705,193.06541472989144,193.86713698778064,11515191
2015-10-08,192.6536865234375,198.24413165514807,192.0361404634542,198.24413165514807,10753149
2015-10-09,192.2745056152344,196.1964890571658,191.00691170297432,193.72629010065265,9327873
2015-10-12,193.2278747558593,195.3622082328696,192.4153043475561,192.4153043475561,6212395
2015-10-13,193.6287536621093,194.2137980238864,191.3102295245072,191.77610112942503,6162561
2015-10-14,195.6547393798828,196.09894319037795,193.70458195408665,194.105450218628,8002587
2015-10-15,195.81724548339844,197.3990362863973,195.0371912005,196.6839853217014,9048478
2015-10-16,198.2224578857422,198.2224578857422,195.81726257991463,195.9906047769224,15246935
2015-10-19,208.77496337890625,209.2083188620776,203.89956954854145,203.89956954854145,33505855
2015-10-20,207.301513671875,209.46834896995227,206.4997770900626,209.0999823406491,18091895
2015-10-21,206.9331512451172,211.22348637959888,206.49978128380675,207.0414901193275,14404450
2015-10-23,207.073974609375,210.8442828349833,203.93206073101337,208.8724576299984,12153422
2015-10-26,204.3004302978516,208.6666023454749,203.96456534631585,208.4282568385237,10938775
2015-10-27,203.5853729248047,205.4705271397162,203.1195013146315,203.4228646181636,11601798
2015-10-28,203.02198791503903,204.7446337519029,201.4943665025292,203.0111540283788,11958727
2015-10-29,203.89956665039065,204.76630653335124,202.5886229390244,202.8161490289241,13280382
2015-10-30,205.3513336181641,207.12813431785807,203.7045395506377,204.1378949911968,13366359
2015-11-02,207.9732360839844,208.3416027255819,204.80965412889088,205.6330440481173,7222044
2015-11-03,209.57669067382807,210.28092228034728,208.28742915054943,208.7207991089145,11373522
2015-11-04,206.1313934326172,211.2668146508252,205.02630810046563,209.7500271745764,10033187
2015-11-05,202.94615173339844,206.066397894139,202.16609742544745,205.6330279610692,10767454
2015-11-06,206.3697662353516,206.8789733878841,203.2278522243157,203.5637027206984,8367190
2015-11-09,208.28746032714844,209.1000164642964,200.0967943705559,202.27447837568573,17031699
2015-11-10,199.94509887695312,207.9082378624526,198.54748395366104,207.36652900655545,11486238
2015-11-13,202.17694091796875,203.36869744218205,198.1574530399701,198.27662579949765,13682323
2015-11-16,202.44776916503903,204.11623103579063,200.37843903980743,200.64930065968883,15346549
2015-11-17,201.02850341796875,203.444532567793,200.69265291728763,203.2603564867744,8588142
2015-11-18,197.61575317382807,201.7977495498833,197.1715493127983,200.99601292959164,11249222
2015-11-19,202.54530334472656,203.40120940817687,198.75334137092136,199.1108741320855,12183206
2015-11-20,205.16717529296875,206.4564513243889,200.55180894641563,202.3827938280245,11304265
2015-11-23,206.6622772216797,207.5615187527236,205.026316925646,205.8497212492832,10499517
2015-11-24,209.68502807617188,210.53010021227823,206.0772423635161,206.49977843156933,14806176
2015-11-26,214.2245635986328,214.9396291094312,209.8042217404734,210.40010002315907,23805828
2015-11-27,212.14439392089844,215.0587963989896,211.07181014647185,214.30039535707985,10891864
2015-11-30,209.5550231933593,213.3036639365756,208.51494107761053,212.0252218343801,29919205
