Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
30/07/2015,216.7164001,218.4173781,215.0154366,216.7055663,11701228
31/07/2015,217.0848083,218.3957522,214.5171045,216.68394,16634259
03/08/2015,217.214798,219.6849966,216.5539164,216.9006152,9887787
04/08/2015,214.0837097,217.9081875,212.3502444,217.4206481,12006872
05/08/2015,214.029541,216.8572723,213.2386383,214.1378799,14345010
06/08/2015,212.1227417,214.9504733,211.8085589,214.7337811,8708037
07/08/2015,213.2928467,215.383845,211.7327089,212.1335772,8608888
10/08/2015,209.9450531,214.2570559,208.9916421,213.3253271,9288894
11/08/2015,209.3166962,210.9743245,207.5832162,210.4001139,8762464
12/08/2015,204.3112793,209.31668,203.8020721,208.7966389,9650325
13/08/2015,202.2419434,206.7056351,201.3860373,205.1996813,9340350
14/08/2015,209.5225525,210.6168042,202.4478205,203.7370967,12739366
17/08/2015,206.0014343,209.3167056,204.9938537,209.3167056,10857430
18/08/2015,204.5712738,207.1498111,204.1595861,207.1498111,6630334
19/08/2015,206.8464966,208.2332632,203.5637272,204.5496399,8877298
20/08/2015,198.5474548,208.0057123,197.9949122,208.0057123,19008087
21/08/2015,196.7381592,197.5940652,194.3654657,197.182363,20050521
24/08/2015,179.7501373,190.6818474,177.2474371,190.6818474,35635706
25/08/2015,183.7804718,186.4890305,178.3742172,182.1986808,49504268
26/08/2015,184.9180603,189.5550941,182.0144918,183.7046216,18955515
27/08/2015,188.3308411,190.9527143,185.7089679,187.8216339,26997546
28/08/2015,189.0350494,191.3318913,187.6699363,189.598426,10770215
31/08/2015,185.4597626,189.1325513,185.0047249,189.1325513,20708942
01/09/2015,181.9819794,185.0263882,180.9527313,185.0263882,21645696
02/09/2015,184.0838318,185.7197922,182.577878,184.1813368,19652369
03/09/2015,185.015564,186.5106837,182.9679015,185.0588995,11659978
04/09/2015,181.1260986,184.1163384,178.7859066,184.1163384,16199949
07/09/2015,180.5410461,182.8812381,179.3492896,181.6352977,10234633
08/09/2015,183.8779907,184.8205679,178.7859185,181.1477785,12900468
09/09/2015,189.3925476,190.4001279,184.2896429,186.5648312,17340694
10/09/2015,187.8649445,188.6233454,185.3730782,186.5648491,11074406
11/09/2015,186.5540314,189.8367861,185.5247831,188.9483784,10634833
14/09/2015,187.1824188,187.5832871,184.5930473,186.7273811,7964072
